primary_city,state,county
franconia,NH,grafton county
gorham,NH,coos county
groveton,NH,coos county
jefferson,NH,coos county
lancaster,NH,coos county
lisbon,NH,grafton county
sugar hill,NH,grafton county
milan,NH,coos county
mount washington,NH,co̦s county
north stratford,NH,coos county
pittsburg,NH,coos county
randolph,NH,coos county
twin mountain,NH,coos county
west stewartstown,NH,co̦s county
whitefield,NH,coos county
acworth,NH,sullivan county
alstead,NH,cheshire county
charlestown,NH,sullivan county
drewsville,NH,cheshire county
lempster,NH,sullivan county
south acworth,NH,sullivan county
walpole,NH,cheshire county
north walpole,NH,cheshire county
bath,NH,grafton county
canaan,NH,grafton county
claremont,NH,sullivan county
cornish,NH,sullivan county
cornish flat,NH,sullivan county
enfield,NH,grafton county
enfield center,NH,grafton county
etna,NH,grafton county
georges mills,NH,sullivan county
goshen,NH,sullivan county
grantham,NH,sullivan county
guild,NH,sullivan county
hanover,NH,grafton county
lebanon,NH,grafton county
haverhill,NH,grafton county
lebanon,NH,grafton county
lyme,NH,grafton county
lyme center,NH,grafton county
meriden,NH,sullivan county
monroe,NH,grafton county
newport,NH,sullivan county
north haverhill,NH,grafton county
orford,NH,grafton county
piermont,NH,grafton county
pike,NH,grafton county
plainfield,NH,sullivan county
sunapee,NH,sullivan county
west lebanon,NH,grafton county
woodsville,NH,grafton county
portsmouth,NH,rockingham county
portsmouth,NH,rockingham county
portsmouth,NH,rockingham county
portsmouth,NH,rockingham county
newington,NH,rockingham county
alton,NH,belknap county
alton bay,NH,belknap county
atkinson,NH,rockingham county
bartlett,NH,carroll county
center conway,NH,carroll county
center ossipee,NH,carroll county
center strafford,NH,strafford county
center tuftonboro,NH,carroll county
chocorua,NH,carroll county
conway,NH,carroll county
danville,NH,rockingham county
dover,NH,strafford county
dover,NH,strafford county
dover,NH,strafford county
madbury,NH,strafford county
durham,NH,strafford county
barrington,NH,strafford county
east hampstead,NH,rockingham county
east kingston,NH,rockingham county
east wakefield,NH,carroll county
eaton center,NH,carroll county
exeter,NH,rockingham county
farmington,NH,strafford county
freedom,NH,carroll county
gilmanton iron works,NH,belknap county
glen,NH,carroll county
rochester,NH,strafford county
greenland,NH,rockingham county
hampstead,NH,rockingham county
hampton,NH,rockingham county
hampton,NH,rockingham county
hampton falls,NH,rockingham county
intervale,NH,carroll county
jackson,NH,carroll county
kearsarge,NH,carroll county
kingston,NH,rockingham county
madison,NH,carroll county
melvin village,NH,carroll county
milton,NH,strafford county
milton mills,NH,strafford county
mirror lake,NH,carroll county
new castle,NH,rockingham county
new durham,NH,strafford county
newfields,NH,rockingham county
newmarket,NH,rockingham county
newton,NH,rockingham county
newton junction,NH,rockingham county
north conway,NH,carroll county
lee,NH,strafford county
north hampton,NH,rockingham county
ossipee,NH,carroll county
plaistow,NH,rockingham county
rochester,NH,strafford county
rochester,NH,strafford county
rochester,NH,strafford county
rollinsford,NH,strafford county
rye,NH,rockingham county
rye beach,NH,rockingham county
sanbornville,NH,carroll county
sandown,NH,rockingham county
seabrook,NH,rockingham county
silver lake,NH,carroll county
somersworth,NH,strafford county
effingham,NH,carroll county
south tamworth,NH,carroll county
strafford,NH,strafford county
