state,county,poverty_pct,med_income
GA,dodge county,25.9,32293
GA,dooly county,30.4,31103
GA,dougherty county,31.7,32150
GA,douglas county,14.2,54581
GA,early county,29.9,34906
GA,echols county,27.1,34444
GA,effingham county,11,61195
GA,elbert county,21.4,35351
GA,emanuel county,32.7,30119
GA,evans county,26.6,33293
GA,fannin county,19.6,37813
GA,fayette county,6.9,79069
GA,floyd county,21.1,41814
GA,forsyth county,6.3,86413
GA,franklin county,24.4,38055
GA,fulton county,17.4,55516
GA,gilmer county,19.7,40010
GA,glascock county,19.4,39643
GA,glynn county,19.3,46737
GA,gordon county,17.8,43880
GA,grady county,26.2,35237
GA,greene county,24.4,42823
GA,gwinnett county,13.4,59858
GA,habersham county,15.3,40994
GA,hall county,16.8,52238
GA,hancock county,35.3,26309
GA,haralson county,18.8,40387
GA,harris county,9.5,66249
GA,hart county,21.4,38564
GA,heard county,19,41348
GA,henry county,13.7,60388
GA,houston county,17.2,53027
GA,irwin county,25.3,35955
GA,jackson county,13.5,51931
GA,jasper county,18.2,41818
GA,jeff davis county,24.8,35235
GA,jefferson county,26.4,30835
GA,jenkins county,34.6,30678
GA,johnson county,30.4,29818
GA,jones county,14.5,51749
GA,lamar county,21.3,40339
GA,lanier county,23.9,37113
GA,laurens county,25.4,35807
GA,lee county,11.8,64533
GA,liberty county,17.2,41682
GA,lincoln county,17.9,39484
GA,long county,21.9,43193
GA,lowndes county,24.5,38887
GA,lumpkin county,18.6,44653
GA,mcduffie county,27.6,37413
GA,mcintosh county,23.3,37603
GA,macon county,34.1,29430
GA,madison county,19.7,45557
GA,marion county,25.9,36055
GA,meriwether county,23.6,37243
GA,miller county,25.1,35276
GA,mitchell county,32.6,32711
GA,monroe county,14.8,53542
GA,montgomery county,22.4,36436
GA,morgan county,15,50295
GA,murray county,18.7,40976
GA,muscogee county,21.9,41783
GA,newton county,19.4,48058
GA,oconee county,7.9,80631
GA,oglethorpe county,15.8,46840
GA,paulding county,10.7,63964
GA,peach county,21.7,40550
GA,pickens county,12.3,51047
GA,pierce county,18.9,40526
GA,pike county,13.7,50395
GA,polk county,20.6,38847
GA,pulaski county,23.9,36128
GA,putnam county,18.9,42125
GA,quitman county,29.5,29477
GA,rabun county,20.6,38449
GA,randolph county,36.3,25807
GA,richmond county,26,36012
GA,rockdale county,17.3,48287
GA,schley county,20.1,39601
GA,screven county,26.2,34012
GA,seminole county,26.4,37672
GA,spalding county,27.4,35555
GA,stephens county,20.9,36870
GA,stewart county,39.4,27635
GA,sumter county,33.9,34017
GA,talbot county,23.8,33370
GA,taliaferro county,32.3,28716
GA,tattnall county,28.2,34010
GA,taylor county,25.4,32815
GA,telfair county,33.7,29244
GA,terrell county,29.8,34604
GA,thomas county,24.5,36973
GA,tift county,28.6,36303
