state,county,educ_pct
iowa,webster county,90.4
iowa,winnebago county,92.6
iowa,winneshiek county,93.7
iowa,woodbury county,85.4
iowa,worth county,91.7
iowa,wright county,89.8
kansas,kansas,90
kansas,allen county,89.7
kansas,anderson county,88.5
kansas,atchison county,91.8
kansas,barber county,92.1
kansas,barton county,85.8
kansas,bourbon county,88.1
kansas,brown county,91.9
kansas,butler county,93
kansas,chase county,91.6
kansas,chautauqua county,87.7
kansas,cherokee county,86.6
kansas,cheyenne county,90.5
kansas,clark county,93.2
kansas,clay county,96.1
kansas,cloud county,90.8
kansas,coffey county,92
kansas,comanche county,92.3
kansas,cowley county,88.8
kansas,crawford county,89.8
kansas,decatur county,89.9
kansas,dickinson county,90.1
kansas,doniphan county,90.6
kansas,douglas county,94.6
kansas,edwards county,84.5
kansas,elk county,89.1
kansas,ellis county,93.2
kansas,ellsworth county,89.2
kansas,finney county,71.1
kansas,ford county,68.7
kansas,franklin county,91.7
kansas,geary county,91.1
kansas,gove county,94.5
kansas,graham county,93.4
kansas,grant county,70.7
kansas,gray county,75.6
kansas,greeley county,89.2
kansas,greenwood county,89.8
kansas,hamilton county,77.5
kansas,harper county,89
kansas,harvey county,89.6
kansas,haskell county,70.8
kansas,hodgeman county,89.8
kansas,jackson county,94.1
kansas,jefferson county,93.1
kansas,jewell county,92.8
kansas,johnson county,95.7
kansas,kearny county,81.1
kansas,kingman county,89.3
kansas,kiowa county,91.5
kansas,labette county,88.3
kansas,lane county,93
kansas,leavenworth county,91.8
kansas,lincoln county,91.7
kansas,linn county,89
kansas,logan county,93
kansas,lyon county,87.1
kansas,mcpherson county,88.9
kansas,marion county,88.8
kansas,marshall county,92.3
kansas,meade county,87.5
kansas,miami county,93.8
kansas,mitchell county,94.6
kansas,montgomery county,88.6
kansas,morris county,89.6
kansas,morton county,86
kansas,nemaha county,90.6
kansas,neosho county,91.9
kansas,ness county,91.6
kansas,norton county,86.1
kansas,osage county,90.6
kansas,osborne county,89.5
kansas,ottawa county,92.7
kansas,pawnee county,88.1
kansas,phillips county,91.8
kansas,pottawatomie county,95.9
kansas,pratt county,89
kansas,rawlins county,92.6
kansas,reno county,88.4
kansas,republic county,93.6
kansas,rice county,89
kansas,riley county,95.2
kansas,rooks county,92.2
kansas,rush county,89.9
kansas,russell county,91.2
kansas,saline county,89.2
kansas,scott county,83.8
kansas,sedgwick county,88.6
kansas,seward county,65.2
kansas,shawnee county,90.6
kansas,sheridan county,90.3
kansas,sherman county,87.7
kansas,smith county,90
kansas,stafford county,88.2
kansas,stanton county,80
kansas,stevens county,83.3
kansas,sumner county,91.7
kansas,thomas county,92.8
kansas,trego county,91
kansas,wabaunsee county,95.6
kansas,wallace county,90.1
kansas,washington county,89.8
kansas,wichita county,79.9
kansas,wilson county,82.6
kansas,woodson county,89
kansas,wyandotte county,78.4
kentucky,kentucky,83.5
kentucky,adair county,74
kentucky,allen county,76.6
kentucky,anderson county,87.4
kentucky,ballard county,83.8
kentucky,barren county,79.7
kentucky,bath county,75.5
kentucky,bell county,68.5
kentucky,boone county,91.9
kentucky,bourbon county,83.2
kentucky,boyd county,87.8
kentucky,boyle county,85.6
kentucky,bracken county,82.7
kentucky,breathitt county,67.5
kentucky,breckinridge county,77.4
kentucky,bullitt county,85.9
kentucky,butler county,75.6
kentucky,caldwell county,87.8
kentucky,calloway county,86.8
kentucky,campbell county,89.2
kentucky,carlisle county,81.8
kentucky,carroll county,74.4
kentucky,carter county,78
kentucky,casey county,70.4
kentucky,christian county,85.7
kentucky,clark county,83.5
kentucky,clay county,64.3
kentucky,clinton county,67.7
kentucky,crittenden county,79.2
kentucky,cumberland county,72.8
kentucky,daviess county,87.9
kentucky,edmonson county,79.8
kentucky,elliott county,73.6
kentucky,estill county,74
kentucky,fayette county,89.2
kentucky,fleming county,76.6
kentucky,floyd county,73.9
kentucky,franklin county,86.4
kentucky,fulton county,75.5
kentucky,gallatin county,77.8
kentucky,garrard county,80.7
kentucky,grant county,81.8
kentucky,graves county,80.9
kentucky,grayson county,75.1
kentucky,green county,77.5
kentucky,greenup county,82.9
kentucky,hancock county,87.1
kentucky,hardin county,89
kentucky,harlan county,70.5
kentucky,harrison county,81
kentucky,hart county,72.6
kentucky,henderson county,85.2
kentucky,henry county,80.1
kentucky,hickman county,82.2
kentucky,hopkins county,83.7
kentucky,jackson county,70.2
kentucky,jefferson county,88.2
kentucky,jessamine county,84.6
kentucky,johnson county,75.5
kentucky,kenton county,88.7
kentucky,knott county,68.9
kentucky,knox county,68.9
kentucky,larue county,81
kentucky,laurel county,74.3
kentucky,lawrence county,76.9
kentucky,lee county,71.5
kentucky,leslie county,64.5
kentucky,letcher county,75.2
kentucky,lewis county,73.6
kentucky,lincoln county,79.1
kentucky,livingston county,82.1
kentucky,logan county,77.2
kentucky,lyon county,85.8
kentucky,mccracken county,87.2
kentucky,mccreary county,70.3
kentucky,mclean county,80.7
kentucky,madison county,85.6
